VS,Match Id,Bowling,O,Teaminnings,M,R,W,ECON,0s,4s,6s,WD,NB
Sri Lanka VS West Indies,ODI # 22,Mevan Pieris,2,West Indies,0,13,0,6.50,-,-,-,0,0
Sri Lanka VS West Indies,ODI # 22,Somachandra De Silva,8,West Indies,1,33,1,4.12,-,-,-,0,0
Sri Lanka VS West Indies,ODI # 22,Lalith Kaluperuma,6.4,West Indies,1,17,0,2.55,-,-,-,0,0
England VS West Indies,ODI # 74,Ian Botham,12,West Indies,2,44,2,3.66,-,-,-,0,0
England VS West Indies,ODI # 74,Mike Hendrick,12,West Indies,2,50,2,4.16,-,-,-,0,0
England VS West Indies,ODI # 74,Chris Old,12,West Indies,0,55,2,4.58,-,-,-,0,0
England VS West Indies,ODI # 74,Geoff Boycott,6,West Indies,0,38,0,6.33,-,-,-,0,0
England VS West Indies,ODI # 74,Phil Edmonds,12,West Indies,2,40,2,3.33,-,-,-,0,0
England VS West Indies,ODI # 74,Graham Gooch,4,West Indies,0,27,0,6.75,-,-,-,0,0
England VS West Indies,ODI # 74,Wayne Larkins,2,West Indies,0,21,0,10.50,-,-,-,0,0
England VS West Indies,ODI # 74,Andy Roberts,9,England,2,33,0,3.66,-,-,-,0,0
England VS West Indies,ODI # 74,Michael Holding,8,England,1,16,2,2.00,-,-,-,0,0
England VS West Indies,ODI # 74,Colin Croft,10,England,1,42,3,4.20,-,-,-,0,0
England VS West Indies,ODI # 74,Joel Garner,11,England,0,38,5,3.45,-,-,-,0,0
England VS West Indies,ODI # 74,Viv Richards,10,England,0,35,0,3.50,-,-,-,0,0
England VS West Indies,ODI # 74,Collis King,3,England,0,13,0,4.33,-,-,-,0,0
England VS New Zealand,ODI # 72,Richard Hadlee,12,England,4,32,1,2.66,-,-,-,0,0
England VS New Zealand,ODI # 72,Gary Troup,12,England,1,38,1,3.16,-,-,-,0,0
England VS New Zealand,ODI # 72,Lance Cairns,12,England,2,47,1,3.91,-,-,-,0,0
England VS New Zealand,ODI # 72,Jeremy Coney,12,England,0,47,1,3.91,-,-,-,0,0
England VS New Zealand,ODI # 72,Brian McKechnie,12,England,1,46,2,3.83,-,-,-,0,0
England VS New Zealand,ODI # 72,Ian Botham,12,New Zealand,3,42,1,3.50,-,-,-,0,0
