Player,Runs,Average Runs,Strike Rate,Centuries,Half Centuries,Highest Run,No. of Balls,Average Balls Faced
Daniel Vettori,167.0,9.82,116.29,0,0,44.0,199.0,12
Danish Kaneria,6.0,3.0,75.0,0,0,6.0,4.0,2
Danny Morrison,27.0,5.4,122.0,0,0,12.0,53.0,11
Daren Powell,56.0,9.33,56.48,0,0,48.0,52.0,9
Daren Sammy,231.0,21.0,87.22,0,1,89.0,226.0,21
Darren Bravo,207.0,18.82,45.57,0,1,73.0,293.0,27
Darren Gough,95.0,15.83,79.77,0,0,26.0,129.0,22
Darren Lehmann,360.0,22.5,73.02,0,3,76.0,444.0,28
Darron Reekers,38.0,12.67,103.58,0,0,25.0,33.0,11
Daryl Mitchell,552.0,61.33,105.54,2,4,134.0,497.0,56
Daryl Tuffey,15.0,7.5,108.97,0,0,11.0,16.0,8
Daryll Cullinan,471.0,31.4,62.16,0,3,69.0,696.0,47
Dasun Shanaka,80.0,40.0,88.16,0,1,68.0,80.0,40
Dave Houghton,567.0,29.84,45.83,1,5,142.0,900.0,48
Dave Langford-Smith,67.0,8.38,85.85,0,0,18.0,72.0,9
David Boon,815.0,50.94,67.87,2,7,100.0,1117.0,70
David Gower,434.0,39.45,73.48,1,2,130.0,527.0,48
David Hemp,90.0,30.0,50.05,0,1,76.0,127.0,43
David Heyn,3.0,1.5,14.58,0,0,2.0,20.0,10
David Hookes,133.0,22.17,56.66,0,1,56.0,194.0,33
David Hussey,52.0,26.0,160.57,0,0,38.0,34.0,17
David Miller,816.0,38.86,120.25,2,3,138.0,720.0,35
David Obuya,81.0,8.1,35.13,0,1,51.0,189.0,19
David Richardson,66.0,13.2,61.95,0,0,28.0,99.0,20
David Tikolo,36.0,18.0,46.96,0,0,25.0,75.0,38
David Warner,1527.0,52.66,111.69,6,11,178.0,1505.0,52
David Willey,78.0,13.0,163.93,0,0,16.0,67.0,12
David Williams,52.0,8.67,65.26,0,0,32.0,70.0,12
Davis Joseph,13.0,4.33,39.87,0,0,9.0,24.0,8
Dawid Malan,404.0,44.89,89.67,1,3,140.0,400.0,45
Dawlat Zadran,25.0,2.78,31.78,0,0,9.0,73.0,9
Dayle Hadlee,28.0,9.33,53.96,0,0,20.0,59.0,20
Dean Jones,590.0,36.88,73.51,0,5,90.0,811.0,51
Dean Minors,48.0,16.0,94.55,0,0,23.0,64.0,22
Debasis Mohanty,0.0,0.0,0.0,0,0,0.0,3.0,3
Delyone Borden,21.0,7.0,25.46,0,0,13.0,74.0,25
Denesh Ramdin,191.0,15.92,53.13,0,2,52.0,245.0,21
Dennis Amiss,243.0,60.75,71.62,1,2,137.0,288.0,72
Dennis Lillee,3.0,1.5,12.5,0,0,3.0,14.0,7
