Player,No. of Wickets,Bowling Average,Average ECON,Average Strike Rate,Total Five Wicket Hauls,Average Balls,Total Overs
Javed Ahmadi,0,0.0,6.37,0.0,0,19.67,9.5
Javed Miandad,4,20.67,2.88,37.0,0,44.0,22.0
Jean-Paul Duminy,9,10.11,6.38,11.6,0,24.4,61.0
Jeetan Patel,7,8.05,4.51,11.61,0,54.33,54.2
Jeevan Mendis,2,0.5,5.81,1.2,0,19.4,16.1
Jeff Thomson,5,9.14,3.71,20.24,0,55.57,64.5
Jeffrey Vandersay,1,50.0,7.14,42.0,0,42.0,7.0
Jeremy Coney,12,18.48,3.61,34.67,0,59.33,89.0
Jermaine Lawson,2,8.0,2.0,24.0,0,48.0,8.0
Jerome Taylor,23,15.86,5.24,19.64,0,52.07,120.9
Jesse Ryder,1,3.0,6.55,1.6,0,17.0,13.7
Jimmy Adams,3,4.42,5.52,5.0,0,45.0,30.0
Jimmy Hansra,2,2.3,6.96,3.6,0,28.8,24.0
Jimmy Kamande,6,15.05,6.72,15.6,0,40.2,67.0
Jitendra Patel,0,0.0,3.71,0.0,0,45.5,15.1
Joe Root,4,6.61,6.43,7.67,0,19.44,29.1
Joel Garner,13,22.82,3.14,44.77,1,67.5,90.0
Jofra Archer,20,17.67,4.48,25.06,0,55.0,100.5
Johan Botha,4,15.8,4.03,23.4,0,50.4,42.0
Johanne Samarasekera,3,17.2,4.8,21.6,0,40.8,34.0
John Blain,12,11.8,6.33,13.44,0,37.62,50.1
John Bracewell,1,9.43,5.59,10.29,0,50.57,59.0
John Davison,17,18.59,5.19,22.36,0,45.43,106.0
John Emburey,6,12.81,3.74,22.12,0,59.25,79.0
John Jameson,0,0.0,1.5,0.0,0,12.0,2.0
John Mooney,14,19.66,6.76,19.61,0,40.71,95.0
John Morrison,0,0.0,3.9,0.0,0,24.0,8.0
John Nagenda,1,50.0,5.55,54.0,0,54.0,9.0
John Snow,6,5.92,1.8,18.0,0,72.0,36.0
John Traicos,16,17.46,3.68,28.42,0,59.37,188.0
John Valentine,3,22.0,4.73,38.0,0,38.0,19.0
John Vaughan,0,0.0,3.35,0.0,0,33.0,11.0
Joseph Angara,5,21.38,6.56,24.75,0,48.0,32.0
Josh Davey,15,23.39,6.36,22.5,0,50.0,50.0
Josh Hazlewood,23,19.62,4.58,25.16,0,51.0,135.6
Justin Kemp,2,1.8,5.9,2.4,0,15.6,13.0
Kagiso Rabada,24,23.25,5.07,28.38,0,53.24,150.5
Kamran Shazad,1,59.0,7.37,48.0,0,48.0,8.0
Kane Richardson,5,23.34,6.19,22.0,0,53.0,17.4
Kane Williamson,2,10.67,5.16,15.0,0,22.0,22.0
Kapil Dev,28,17.88,3.75,27.94,1,56.88,237.0
Kapila Wijegunawardene,0,0.0,5.55,0.0,0,51.0,17.0
Karsan Ghavri,0,0.0,4.46,0.0,0,64.5,43.0
Kasun Rajitha,10,36.44,7.12,32.81,0,50.25,67.0
Kedar Jadhav,0,0.0,7.33,0.0,0,12.0,6.0
Keith Arthurton,3,6.12,6.28,8.25,0,27.0,36.0
Keith Boyce,6,17.58,3.33,30.25,0,60.0,40.0
Kemar Roach,20,13.24,4.72,17.96,1,46.62,100.2
Ken MacLeay,8,21.38,3.72,38.96,1,67.25,44.5
Ken Rutherford,0,0.0,6.6,0.0,0,10.0,1.4
Kenny Carroll,0,0.0,8.0,0.0,0,6.0,1.0
Keshav Maharaj,15,22.1,4.94,34.95,0,53.4,89.0
Kevin Curran,9,15.67,4.81,19.8,0,50.6,83.8
Kevin Duers,3,19.5,4.96,25.0,0,50.0,50.0
Kevin Hurdle,3,27.83,6.11,29.0,0,46.0,23.0
Kevin O'Brien,13,20.14,6.58,14.53,0,31.81,84.5
Kevin Pietersen,0,0.0,5.08,0.0,0,22.0,11.0
Kevin Sandher,2,29.0,5.8,30.0,0,60.0,10.0
Khaled Mahmud,12,15.35,5.49,22.78,0,45.89,68.5
Khurram Chohan,2,5.5,5.18,7.5,0,42.75,28.3
Khurram Khan,0,0.0,7.38,0.0,0,21.0,7.0
Kieron Pollard,2,14.33,4.88,17.83,0,34.83,34.5
Kirti Azad,1,9.33,2.72,24.0,0,34.0,17.0
Kris Srikkanth,0,0.0,6.92,0.0,0,6.5,2.1
Krishna Chandran,1,14.75,7.01,13.5,0,37.5,25.0
Kuldeep Yadav,21,26.72,4.44,33.36,0,54.06,162.1
Kumar Dharmasena,6,30.67,4.42,41.0,0,56.0,56.0
Kyle Abbott,9,18.31,4.19,24.75,0,46.5,31.0
Kyle Coetzer,0,0.0,7.2,0.0,0,23.5,7.5
Kyle McCallan,10,17.12,4.08,27.25,0,44.0,58.4
Kyle Mills,6,9.25,3.59,15.5,0,40.0,26.4
Lahiru Kumara,3,5.83,8.38,7.0,0,33.0,11.0
Lalith Kaluperuma,1,16.67,3.53,24.0,0,55.33,27.4
Lameck Onyango,1,21.0,7.54,16.0,0,28.0,14.0
